month,code,numerator,denominator
2022-12-01,W2U3Z,25130200.360000003,2820.5479999999993
2018-07-01,W2U3Z,26663114.220000006,2451.2960000000003
2020-02-01,W2U3Z,24959003.819999997,2596.9700000000003
2022-08-01,W2U3Z,25213885.960000005,2789.9219999999996
2020-03-01,W2U3Z,27999319.112000007,2603.8099999999995
2022-06-01,W2U3Z,25094787.419999987,2777.101999999999
2020-04-01,W2U3Z,27023318.22000001,2608.741
2020-06-01,W2U3Z,26437784.699999988,2608.577999999998
2021-02-01,W2U3Z,23540139.440000013,2643.772000000001
2019-09-01,W2U3Z,25374230.65999998,2552.494999999999
2020-12-01,W2U3Z,27109149.36000001,2629.345999999999
2021-01-01,W2U3Z,25934070.580000002,2636.9559999999997
2018-03-01,W2U3Z,27185795.360000007,2430.3950000000004
2019-03-01,W2U3Z,26613489.300000004,2507.6639999999975
2019-12-01,W2U3Z,26691395.639999986,2583.398000000002
2022-03-01,W2U3Z,26725995.220000003,2765.2170000000037
2022-05-01,W2U3Z,25466911.000000007,2773.2240000000006
2021-09-01,W2U3Z,26456135.220000003,2709.515000000003
2021-10-01,W2U3Z,24847003.719999995,2719.506000000003
2018-11-01,W2U3Z,26575255.119999994,2478.856999999999
2020-01-01,W2U3Z,27212058.88000001,2590.0800000000027
2022-09-01,W2U3Z,25413017.719999984,2793.33
2020-09-01,W2U3Z,26360043.679999996,2611.037999999997
2022-10-01,W2U3Z,24622598.500000004,2798.1679999999988
2019-02-01,W2U3Z,24039218.680000026,2501.1029999999987
2019-08-01,W2U3Z,26469714.78000001,2545.7380000000003
2019-01-01,W2U3Z,26825968.729999997,2493.5060000000017
2019-06-01,W2U3Z,25864552.050000012,2530.176000000001
2020-08-01,W2U3Z,24609429.76,2612.102
2018-10-01,W2U3Z,27458876.319999985,2470.4450000000006
2019-07-01,W2U3Z,27909960.390000004,2536.9699999999993
2021-08-01,W2U3Z,24714271.279999997,2702.273999999999
2021-12-01,W2U3Z,26432190.28,2741.375000000001
2022-07-01,W2U3Z,25144566.339999992,2783.738999999999
2018-01-01,W2U3Z,27065953.030000005,2414.4340000000007
2021-07-01,W2U3Z,26520190.199999984,2694.3789999999995
