month,ratio_quantity.00C,ratio_quantity.00D,ratio_quantity.00J,ratio_quantity.00K,ratio_quantity.00L,ratio_quantity.00M,ratio_quantity.00N,ratio_quantity.00P,ratio_quantity.00Q,ratio_quantity.00R,ratio_quantity.00T,ratio_quantity.00V,ratio_quantity.00X,ratio_quantity.00Y,ratio_quantity.01A,ratio_quantity.01C,ratio_quantity.01D,ratio_quantity.01E,ratio_quantity.01F,ratio_quantity.01G,ratio_quantity.01H,ratio_quantity.01J,ratio_quantity.01K,ratio_quantity.01R,ratio_quantity.01T,ratio_quantity.01V,ratio_quantity.01W,ratio_quantity.01X,ratio_quantity.01Y,ratio_quantity.02A,ratio_quantity.02D,ratio_quantity.02E,ratio_quantity.02F,ratio_quantity.02G,ratio_quantity.02H,ratio_quantity.02M,ratio_quantity.02N,ratio_quantity.02P,ratio_quantity.02Q,ratio_quantity.02R,ratio_quantity.02T,ratio_quantity.02W,ratio_quantity.02X,ratio_quantity.02Y,ratio_quantity.03A,ratio_quantity.03D,ratio_quantity.03E,ratio_quantity.03F,ratio_quantity.03H,ratio_quantity.03J,ratio_quantity.03K,ratio_quantity.03L,ratio_quantity.03M,ratio_quantity.03N,ratio_quantity.03Q,ratio_quantity.03R,ratio_quantity.03T,ratio_quantity.03V,ratio_quantity.03W,ratio_quantity.04C,ratio_quantity.04D,ratio_quantity.04E,ratio_quantity.04F,ratio_quantity.04G
1414800000,39878.73180522208,53179.916300524936,42441.129200083225,54111.568036532786,43330.56233853337,57522.21886668132,47771.58447753495,43790.37198045507,43573.31795282266,63461.549812057485,44727.77920659467,40905.46336631661,37154.100228432835,40113.32731292114,42421.35575304074,33369.995525204766,56767.7782364927,30956.28655763232,49404.31304106077,45331.915282514776,38115.48527875479,46494.701663265936,38747.24908571395,41933.31986237168,46065.64313314985,39945.726325380114,34727.71519351067,50681.39541470823,48950.741234056746,34854.83992134718,46887.267298227875,36590.09129348906,40517.464655509924,40918.65366411259,44195.80520996296,53362.14219050882,36242.08148995678,49186.4429408614,43834.47740274851,38858.88118889078,33295.39365105709,18273.91525766057,53957.31131999838,49477.79632981296,31569.19283065513,46995.26453023803,33270.83312682757,45356.04728585157,32019.995375174167,37700.2193875652,52224.05505695043,39183.66386970161,50263.50067499156,30042.098930026576,30945.728716680092,52912.76799767402,65664.85940853073,43719.08384413309,26643.38140359322,21597.332700810566,48608.30701200251,49366.725481625224,28945.028520934517,31914.564561795054
1417392000,45419.595963385356,62210.084638745975,46698.599705453904,62468.171346464274,50081.926979829084,68058.77992532398,55887.42474054017,50686.538210872284,49277.22938933096,70494.47827733909,52009.96449482784,45937.74194200467,42650.58236272878,44322.40345206621,48949.750501632676,38237.19381700032,62883.10431621144,36301.129436809184,57579.65418446069,53159.71174898985,43164.87439189481,54752.642799727924,44853.17586168923,50052.13318290761,51128.25572829839,43239.895222367755,39999.02402451994,59917.32825680918,55008.80594306824,41395.82030856106,53296.43141984557,40237.04653098852,47517.319672353544,48985.23281358837,51531.43118776227,63351.49001145938,40700.54411390794,56044.32244242099,53788.78397080472,46234.82105821258,37251.108252888196,21113.30796641467,62915.25892287318,56875.09971028328,36215.02595797281,52378.40020186727,36908.3368439312,50239.886849983726,35957.031336159605,44860.59536659418,59383.853634802195,45715.09495773646,55283.62048599391,35357.31435315242,35919.101168687084,62354.46584977872,72943.76864436227,50633.15181698773,31555.37375069946,24381.390352001563,56601.69783400687,55531.446634753775,32256.369723267922,37080.48427110328
1420070400,41442.10531249708,56343.26182557022,44010.04226114939,57909.73340142999,44599.66978583891,60348.173984688765,50692.58801092728,46372.79790735495,43821.014135147525,64254.59086251864,47696.13802300382,42936.38974426282,39881.19517111679,42794.39485927008,44741.34058835356,35520.64813778404,58165.906130658586,33310.32387167367,52209.69713805105,48392.698721501154,40062.589097108124,50875.032773415536,39403.744520650944,45955.08748717546,47682.81095412075,39697.12306504693,35690.13580422025,53693.66436984628,51485.419712463074,37099.11416619369,49064.61998814739,38032.614698285994,42922.01226016914,43986.61163437868,46540.43616780359,55394.82196819614,37753.003394312305,51985.56986811996,48414.03937936985,41665.9641434387,35403.04570749415,19656.73422140163,56612.42021796147,52689.83994538927,33392.18913538696,46577.060358616065,33164.68827466535,47909.721734459854,34292.46196862709,41124.27380611498,53297.45524574478,42901.81808694443,50457.26985411241,31907.111130817077,32108.67663221436,55851.084618498,68202.18092901552,46467.63920307434,27965.94475731764,22254.406241046072,51122.73782052386,53606.0254930843,28090.8175762977,34106.55957601049
1422748800,37913.00797765133,52831.06812836606,41340.48728805184,53391.595165134466,41823.55498705349,56409.533797933305,46488.3723777125,43297.41947091215,42499.77498913133,61519.12595473177,43023.42357059507,39695.17905640757,36823.92605772586,39051.016647842865,42075.91862226095,32654.079452601465,56584.63348071488,31030.557595532537,46328.061606364354,46419.82777663666,36902.01788736394,47421.553231316684,38589.31344768161,40310.10769808654,45114.016618707385,37704.081582903375,34806.36073057855,51034.398907384384,47119.81830237086,35369.96161526982,44404.76047060651,33441.93801361821,39618.63027782502,40356.96733740055,44102.17941201104,52679.05309907212,35172.420894725474,48786.37907849108,45884.2512460154,39649.61626751637,34594.68250750889,18799.897441815192,53410.015468027945,48451.062987951176,31043.698975927113,44235.908606223886,31565.180466038673,44811.45581561893,30908.20778636084,38210.54532149788,50378.61272083565,39488.986807979374,47925.49788037387,30189.128869592227,30759.22866660973,52723.16975338796,62980.53549632811,42170.77212395412,26751.657311706036,20910.717511916853,47234.68976562365,49003.75695954823,27528.682278748307,31937.83628034435
1425168000,44361.60415475331,57527.10985011898,44462.576941779225,58960.1508341845,46949.57900488679,62586.074152906,51019.23122519458,48567.430653792835,46995.23364705604,67240.74143070047,47873.19186531085,43715.911435984926,41312.781112399934,43661.81046820274,45343.66687663338,37188.17554907752,59308.44637999629,34204.6715198951,51787.73150613056,49521.60659130281,41429.27727884771,51589.37424707634,41621.00143417262,46086.33114498596,49132.16528177441,42761.79661154677,36662.68534125881,54890.00626405562,51291.27711359395,38069.98381366799,51191.0201979967,39970.713782578074,43513.51594749618,44785.727282457454,48430.662906813326,59648.27231385163,37222.26503604073,52646.538246789496,50614.51823673411,42528.67107709844,36127.28952072086,20041.762529480075,58083.49308422232,52802.59261959361,34653.27805939213,49560.44139517919,34402.40951908776,48049.1158303551,34899.35240036018,42452.092679202055,54598.30658939992,42825.01559619199,52803.2498124784,33420.51800906893,32892.52925600071,58797.231636683384,68806.6270426054,48771.49164645283,28414.765345102776,21915.383292959286,53216.21519227125,53236.949550919686,30642.835944294722,35214.443291558666
1427846400,43586.68714126537,57920.96855223377,45502.31980608211,58375.44120100652,46003.984340288,60585.92844272843,52257.07592162927,46777.95559644152,46516.30488377552,68287.08091980279,47542.959014238724,43306.300441544445,40633.32996116385,42451.41431753155,45164.96798056605,35485.1445362289,60580.93195632202,33884.93047874862,52146.44286915404,49713.22696721278,40078.3291571789,51997.78524152917,42351.03402766319,49286.81661228853,48193.843310109485,42665.86820024207,37748.6315734112,55908.08604313447,51305.46892348688,37177.484281487465,50798.57743103064,37966.68009933929,43510.97363051812,45840.66569024951,48555.0834555529,57841.73015497457,38303.349324804556,52769.49703816603,48902.6234033388,41154.43676716268,36243.402320851776,19696.216126302697,58340.79046705052,52865.1289417291,33687.999950794256,48069.44027600523,34538.61451046244,49608.67987287331,33343.981937456665,42180.78975481796,55253.68814739695,43033.5135761551,53452.113340408694,32468.922471624002,33003.81058571885,56217.941023160914,67953.4179742525,47464.49933389522,29535.613309842192,21431.85528800327,52044.18969984422,54142.01605330588,29965.770465604088,34271.33190088609
1430438400,44658.57826384142,56484.18461602693,43896.74743938085,57651.119389009385,44575.57550995041,59473.481252681224,48677.85253931425,45314.654795640716,45108.824254519845,65981.92270486358,46321.56336205031,44111.32146147689,39768.98975422507,42210.873081675134,44659.30197366131,36290.859336232796,58125.38562795955,32982.60141807552,51593.85379625272,48884.2383343189,40281.44551586061,49785.62024597451,41429.95001635249,46158.823529411755,46617.98211031114,38033.64199787184,36547.63919294716,53079.58088865399,49488.593928627204,37596.57134691682,50981.50660339824,36580.3903284757,43109.35142821811,43962.40377230427,47854.13389476814,58206.09724358216,34605.83802924156,50925.69174928902,48798.67203502325,39182.063781930636,33530.516164060835,19407.55472948051,55916.74408189379,50512.96257472119,31641.6643430624,47173.419771959096,32932.27831237957,49413.73274475842,33358.94575903571,40633.92354720654,52689.799222684036,41206.26399817673,52318.65787301427,32165.915920483898,32954.75208210077,55559.279054274426,66861.9371052234,49155.98814605367,28241.154174737836,21086.05163981477,51507.6721785613,52167.00690196661,29413.31024100682,33166.92590294612
1433116800,43623.16313823162,58375.22208962909,45364.854759622634,59813.09829852872,45850.32528080284,62607.93135993135,51564.57940190771,48138.77750990429,45956.66823197932,69055.82883649375,47745.82106289454,43070.34976160628,41650.875358995545,45583.6876950839,44875.67203314702,36329.208626443644,60059.393331684194,33432.840397377164,52873.6759204264,50782.097484240265,41357.90683519584,52376.25938456978,41569.960377757125,47852.48507166161,48178.75470186009,42466.40998773465,35812.554483955595,56750.745847423284,51190.153141372015,37342.216394324525,51272.831455658736,37886.71336863315,43697.231668109314,46003.21860431885,49059.36199834422,57860.61841949604,38783.53627271805,53526.95426048424,51080.54486475081,43112.37326522295,34016.660991837445,20312.097258282643,57412.18841970567,54073.97838476184,34962.67314268843,49893.0080080782,34742.73020751361,50396.38711654538,36517.15657167238,43732.66273190751,55873.02865986271,43834.493284351774,52776.86528191911,33690.97096339192,33808.83413735039,60032.295937851006,70617.41528762806,51462.74707049836,30184.787312276825,23021.487586133444,52866.56107701446,55649.26815811392,29891.204748790675,35615.390963356476
1435708800,47745.2274488205,61612.64757707722,47992.72208305707,62810.75409925237,48738.37796570719,67087.9289242995,54623.614422122846,51070.93388212627,48580.675239840086,70027.1446888368,50300.537023752535,47014.52690483847,43241.690245009326,45695.03887772956,47812.332434798176,37181.27335182854,62801.011467708,36027.68329227533,56847.52332740035,52754.982885424855,42347.50753585893,53827.40508825561,44880.038319609856,52112.82887026019,52786.06460120361,43038.185016170464,39211.64572880777,59333.60026249948,52096.625875705286,40018.979277043785,51108.435704474665,41198.365144258845,47035.384668857696,47974.458739185924,51525.72223615095,62930.06330797466,40457.58236885282,56390.636253561,52187.8484409946,45941.05511424687,37295.157696460155,20924.004505447683,61143.0211667395,55552.67206195395,36356.48918708195,50226.30520124617,35944.8642062358,52657.655825719936,35765.273767365856,44143.50222934299,57609.54055600315,46069.23535245563,60461.73501152637,34472.13145504551,35179.898924400906,60366.374985740564,73483.91947917471,50095.22253870972,31193.0406427015,23226.78354344599,55676.132213844234,57526.29014080035,32973.586557198985,36372.256329393305
1438387200,40801.2845047282,55286.57172845471,43724.84726021142,56622.644124036575,44789.890666459774,59066.213672781625,49275.0708091182,44761.712934582705,42726.27207436068,64768.238742991685,46386.09370848606,42297.50642983443,38703.2703394721,41309.9544401607,43210.098000112426,33283.78478177429,57258.07631623024,33415.94646498056,49677.85626777003,48350.39201628197,39647.277217794785,47742.22685139533,39734.503625023506,47918.87327402414,45489.958824327914,39383.773597140374,35628.57788490506,51520.22066363152,49664.970022749854,37786.44582858292,47975.01209107968,36685.88762994977,42238.66345867917,42213.86877605863,47244.910469150935,56187.59258274073,35374.48133437224,50705.55257311019,48055.72529930272,39661.88071001359,33856.006248133606,19339.759131834882,55338.31074547895,51755.961039694215,32889.09864992409,48117.791531035655,32024.56472392828,47682.79248901816,33214.19516065993,40298.62023168301,53627.859586442035,41835.51445363298,52321.95897625739,30917.229873470587,32129.812637578263,56968.10604016018,68466.80146594209,48213.80455472008,27381.195744004308,21183.266169707567,50252.37935884587,53186.882973263266,29012.737224334192,33142.377148736574
