month,code,numerator,denominator
2015-09-01,07P,132,367.8860000000002
2015-08-01,07P,116,367.88600000000014
2017-03-01,07P,122,367.9200000000001
2015-07-01,07P,127,367.88600000000014
2016-01-01,07P,122,371.29300000000006
2015-10-01,07W,147,426.10400000000004
2015-04-01,07W,138,421.7700000000002
2015-12-01,07W,153,426.1039999999999
2015-11-01,07W,128,426.1039999999999
2015-05-01,07W,143,421.7700000000001
2016-02-01,07W,128,427.4389999999999
2014-12-01,08K,135,375.201
2019-03-01,08P,62,220.14199999999994
2017-12-01,08R,73,226.42799999999997
2016-11-01,08X,120,388.1989999999999
2019-01-01,08X,112,408.735
2018-06-01,08X,125,404.668
2019-06-01,08X,111,412.768
2017-07-01,08X,127,397.9219999999999
2017-10-01,08X,129,399.747
2016-03-01,08X,133,384.941
2018-10-01,08X,108,406.83200000000005
2015-01-01,08X,123,375.794
2019-10-01,08X,92,414.61099999999993
2019-02-01,08X,92,409.617
2019-08-01,08X,95,413.903
2016-09-01,08X,126,388.4849999999999
2018-07-01,08X,106,405.30199999999996
2018-09-01,08X,103,406.09499999999997
2019-09-01,08X,85,414.1469999999998
2018-01-01,08X,131,401.5200000000002
2018-12-01,08X,100,408.51800000000003
2018-05-01,08X,113,404.4100000000001
2018-02-01,08X,111,402.66300000000007
2018-11-01,08X,106,407.578
2019-04-01,08X,110,411.1370000000001
2016-06-01,08X,134,386.74600000000004
2019-05-01,08X,107,412.00999999999993
2016-04-01,08X,119,386.746
2017-01-01,08X,113,392.028
2017-05-01,08X,129,395.7559999999999
2016-12-01,08X,112,388.1989999999999
2016-07-01,08X,129,388.4849999999999
2016-10-01,08X,119,388.1989999999999
2018-04-01,08X,122,403.69899999999996
2018-08-01,08X,114,405.412
2017-04-01,08X,119,394.877
2017-09-01,08X,130,399.214
2017-06-01,08X,130,396.886
2018-03-01,08X,119,403.1899999999999
2019-07-01,08X,96,413.037
2016-08-01,08X,125,388.48499999999984
2017-02-01,08X,113,392.028
2015-03-01,08X,115,375.79400000000004
2017-08-01,08X,126,398.384
2015-02-01,08X,110,375.79400000000004
2017-11-01,08X,121,400.6389999999999
2014-11-01,08X,109,373.10199999999986
2015-06-01,08X,131,380.0930000000001
2016-05-01,08X,126,386.746
2015-02-01,00X,280,177.598
2016-02-01,00X,312,179.35699999999997
2015-01-01,00X,309,177.598
2016-10-01,00X,333,180.33299999999994
2017-01-01,00X,321,181.19899999999998
2015-10-01,01E,373,203.61100000000002
2019-10-01,01E,348,212.39000000000001
2016-06-01,01E,382,204.464
2015-07-01,01F,244,129.78300000000002
2016-12-01,01F,254,130.229
2017-04-01,01T,268,154.66099999999994
2018-08-01,01W,551,312.85699999999997
2016-07-01,02E,397,215.64600000000004
2016-08-01,02E,397,215.64600000000004
2018-09-01,02E,352,218.91000000000003
2015-04-01,02E,376,213.41000000000003
2014-12-01,03Q,652,348.853
2015-05-01,03Q,614,351.568
2016-03-01,03Q,653,351.04400000000004
2018-01-01,03Q,640,356.46099999999996
2015-03-01,03Q,631,351.2099999999999
2017-10-01,03Q,628,353.74600000000004
2016-04-01,03Q,646,350.7229999999999
2016-01-01,03V,130,74.922
2015-06-01,04G,1195,654.3579999999994
2016-09-01,04G,1256,667.626
2014-11-01,04G,1066,650.586
2017-09-01,04G,1196,679.748
2015-11-01,04Y,230,131.81400000000002
2017-08-01,05A,911,505.4699999999999
2018-10-01,05A,890,521.1149999999999
2017-05-01,05A,908,505.394
2018-02-01,05C,514,319.165
2018-12-01,05F,311,187.77500000000003
2016-05-01,05H,332,187.266
2018-07-01,05J,302,178.02599999999995
2019-04-01,05Q,343,218.82900000000004
2019-07-01,05V,239,149.30800000000002
2018-05-01,05V,269,149.226
2017-06-01,06A,519,277.0059999999999
2017-11-01,06A,502,278.7689999999999
2016-11-01,06Q,708,385.61700000000013
2018-06-01,07K,443,250.954
2019-03-01,09D,522,321.211
2018-11-01,09D,531,320.71800000000013
2019-09-01,09F,296,199.047
2019-06-01,09F,304,198.64000000000001
2019-01-01,10D,192,114.42200000000003
2017-07-01,10J,409,225.531
2019-08-01,10V,359,217.304
2018-03-01,11J,1393,800.9799999999998
2015-08-01,11J,1346,783.0059999999994
2017-02-01,99A,883,521.3569999999999
2019-02-01,99G,282,189.17199999999997
2019-05-01,99G,316,189.45999999999995
2017-12-01,99G,341,188.18299999999996
2015-09-01,99J,884,477.90700000000004
2017-03-01,99K,320,169.508
2015-12-01,99K,342,168.71900000000002
2018-04-01,99K,285,170.42299999999997
2018-05-01,00R,772,173.326
2018-10-01,00R,824,173.881
2018-08-01,00R,776,173.65699999999998
2018-12-01,00R,791,174.03499999999997
2018-07-01,00R,720,173.542
2019-07-01,03M,475,121.04500000000002
2019-01-01,03T,1053,251.637
2019-05-01,03T,1078,251.99
2019-06-01,03T,965,252.22400000000007
2019-04-01,03T,1021,251.93700000000004
2019-03-01,03T,1052,251.69899999999998
2019-10-01,03T,1006,252.769
2018-09-01,03T,1043,251.578
2019-09-01,03T,996,252.861
2018-11-01,03T,1079,251.57399999999998
2019-02-01,03T,915,251.74500000000003
2019-08-01,03T,1029,252.75700000000006
2015-10-01,06M,1247,236.49099999999996
2017-04-01,06M,1185,238.48600000000002
2015-03-01,06M,1195,235.08700000000005
2016-02-01,06M,1174,236.83900000000006
2017-06-01,06M,1254,238.716
2017-11-01,06M,1204,239.48200000000003
2016-05-01,06M,1146,237.21099999999998
2017-07-01,06M,1167,238.97199999999995
2016-01-01,06M,1197,236.83900000000006
2015-01-01,06M,1105,235.08700000000005
2016-04-01,06M,1211,237.211
2016-08-01,06M,1251,237.56799999999996
2015-02-01,06M,1046,235.08700000000005
2016-03-01,06M,1226,236.83900000000006
2015-06-01,06M,1220,235.371
2018-04-01,06M,1019,239.70499999999998
2015-12-01,06M,1309,236.49099999999999
2017-08-01,06M,1211,239.05000000000004
2018-01-01,06M,1127,239.58200000000002
2016-11-01,06M,1255,237.47199999999998
2017-02-01,06M,1125,238.04000000000002
2014-11-01,06M,1108,234.828
2014-12-01,06M,1222,234.828
2017-10-01,06M,1076,239.45500000000004
2017-01-01,06M,1197,238.04000000000002
2015-05-01,06M,1138,235.371
2015-08-01,06M,1153,236.0180000000001
2016-09-01,06M,1276,237.56799999999996
2015-09-01,06M,1201,236.0180000000001
2018-06-01,06M,1059,239.90399999999997
2017-12-01,06M,1158,239.47
2016-06-01,06M,1197,237.21099999999998
2018-03-01,06M,1166,239.54399999999998
2015-04-01,06M,1142,235.371
2018-02-01,06M,1026,239.51199999999994
2016-10-01,06M,1229,237.47199999999998
2017-09-01,06M,1157,239.39199999999997
2017-03-01,06M,1265,238.04000000000002
2016-12-01,06M,1358,237.47199999999998
2017-05-01,06M,1220,238.45600000000002
2015-07-01,06M,1251,236.0180000000001
2015-11-01,06M,1209,236.49099999999996
2016-07-01,06M,1215,237.56799999999996
2018-01-01,01C,450,208.17899999999995
2016-02-01,01C,425,205.71199999999996
2017-08-01,01C,488,208.068
2014-11-01,01F,260,129.491
2017-01-01,01H,711,323.008
2016-04-01,01H,744,323.871
2019-08-01,01J,342,167.01600000000005
2014-12-01,01J,373,161.73000000000002
2015-03-01,01K,751,345.844
2017-11-01,01K,791,345.65899999999993
2015-01-01,01K,734,345.844
2018-06-01,01T,328,155.27700000000002
2016-11-01,01W,689,308.0010000000001
2018-04-01,01X,420,197.52499999999998
2016-05-01,01X,427,195.55299999999997
2017-07-01,01X,453,196.95499999999996
2018-05-01,02A,537,241.93499999999995
2016-01-01,02A,507,238.83700000000005
2016-06-01,02D,239,104.04899999999999
2015-05-01,02N,337,157.58399999999997
2017-10-01,02N,349,158.92000000000002
2019-10-01,02T,454,222.18300000000002
2018-07-01,03D,312,144.06900000000002
2019-05-01,03D,305,144.598
2019-06-01,03D,285,144.60999999999999
2018-11-01,03D,309,144.25499999999997
2016-08-01,03E,375,161.404
2018-08-01,03H,383,169.90900000000002
2018-10-01,03H,371,169.806
2019-04-01,03L,531,264.343
2019-07-01,04Y,267,134.24799999999996
2017-06-01,04Y,308,132.375
2016-09-01,05G,502,216.155
2019-09-01,05G,415,217.123
2019-02-01,05H,355,192.922
2019-01-01,05H,403,192.72099999999995
2018-09-01,05T,620,313.256
2017-05-01,05T,696,307.93699999999995
2015-09-01,05T,677,299.59
2016-03-01,05X,399,180.21500000000003
2018-03-01,05Y,632,285.50499999999994
2017-02-01,05Y,584,282.12
2017-04-01,06L,874,404.0210000000002
2015-08-01,07K,523,244.33299999999997
2015-11-01,09C,276,127.73000000000002
2018-02-01,09C,264,133.155
2016-12-01,09D,759,311.413
2016-10-01,09D,677,311.41299999999995
2015-06-01,09E,471,215.87
2015-07-01,09F,439,191.64999999999998
2015-04-01,09W,630,292.4870000000001
2017-03-01,10A,477,203.83100000000002
2017-09-01,11N,1231,572.189
2017-12-01,11N,1272,574.2030000000001
2015-02-01,13T,1010,506.09999999999997
2018-12-01,14L,1366,652.9329999999997
2015-12-01,15F,2075,854.4940000000003
2019-03-01,99D,346,168.52700000000002
2015-10-01,99M,503,223.825
2016-07-01,99M,501,225.369
2016-07-01,00L,961,322.97400000000005
2015-07-01,00N,475,155.20600000000002
2018-05-01,00N,469,157.17299999999997
2016-01-01,00N,425,155.53300000000002
2015-03-01,00N,440,155.208
2018-02-01,00N,426,157.02300000000005
2017-04-01,00N,458,156.405
2016-02-01,00N,427,155.53300000000002
2014-11-01,00Q,442,169.91199999999995
2017-06-01,00Q,538,173.93599999999998
2016-08-01,00Q,524,172.60600000000002
2017-11-01,00T,942,308.38599999999997
2017-09-01,00T,928,308.20200000000006
2018-10-01,00T,878,310.5390000000001
2017-10-01,00T,915,308.21999999999997
2019-09-01,00T,758,314.53200000000004
2017-07-01,00T,922,307.55000000000007
2018-03-01,00T,945,308.824
2017-12-01,00V,613,203.50199999999998
2018-07-01,00V,577,204.56099999999998
2018-04-01,00V,578,203.95199999999997
2017-02-01,00V,544,202.04499999999996
2017-03-01,00V,637,202.04499999999996
2019-07-01,01D,610,236.76700000000005
2016-05-01,01G,754,263.51700000000005
2016-04-01,01G,825,263.51700000000005
2015-12-01,01R,561,179.977
2015-01-01,01Y,668,242.821
2015-02-01,01Y,618,242.821
2017-05-01,01Y,741,246.26800000000003
2014-12-01,01Y,724,242.50100000000006
2015-09-01,02G,338,112.00700000000002
2018-01-01,02P,772,259.566
2018-08-01,02P,779,261.19500000000005
2019-02-01,02P,636,261.98299999999995
2019-06-01,02P,649,262.586
2017-08-01,02Q,356,116.71499999999999
2015-11-01,02X,866,314.2050000000001
2015-05-01,02X,867,312.6000000000001
2016-06-01,02X,959,314.8759999999999
2015-06-01,02Y,878,301.45399999999995
2015-08-01,03D,400,143.158
2015-10-01,03F,875,291.607
2016-12-01,03F,920,293.696
2015-04-01,03F,818,290.4190000000001
2016-03-01,03J,569,190.189
2018-06-01,03J,559,193.78500000000003
2016-09-01,03J,587,191.11099999999996
2016-10-01,03J,545,191.083
2018-11-01,03J,529,194.66100000000003
2017-01-01,04Q,379,132.845
2019-05-01,04Q,361,134.306
2016-11-01,04Q,397,132.719
2019-03-01,05X,496,189.53699999999998
2018-09-01,05X,482,187.60899999999998
2019-10-01,07J,466,177.19700000000003
2019-01-01,99C,590,220.168
2018-12-01,99C,601,220.10100000000003
2019-08-01,99C,591,221.28699999999998
2019-04-01,99C,560,220.60399999999996
2018-11-01,02W,110,156.03900000000002
2015-08-01,02W,106,138.49900000000002
2015-07-01,06N,533,628.8189999999998
2017-03-01,07L,171,220.06200000000004
2015-05-01,07L,160,208.94400000000002
2017-09-01,07L,167,224.11100000000002
2017-08-01,07L,169,223.89100000000005
2017-07-01,07M,319,418.12000000000006
2017-06-01,07M,324,416.1359999999999
2017-02-01,07M,292,413.607
2019-02-01,07M,259,427.52799999999985
2015-10-01,07X,265,323.747
2018-05-01,07X,247,340.14900000000006
2017-05-01,07X,251,334.9060000000001
2015-12-01,07X,273,323.747
2017-11-01,07X,249,337.2779999999999
2016-04-01,07X,260,327.51099999999997
2016-11-01,08A,226,285.7509999999999
2015-06-01,08C,159,206.891
2016-09-01,08C,168,207.84900000000002
2016-05-01,08C,164,209.71299999999997
2016-02-01,08C,158,210.90200000000007
2017-12-01,08C,172,226.344
2018-09-01,08C,167,250.82699999999997
2019-06-01,08G,201,320.14
2019-05-01,08G,215,319.42499999999995
2018-12-01,08G,216,316.839
2016-01-01,08G,232,304.977
2018-06-01,08G,221,313.00300000000004
2014-12-01,08G,262,298.2990000000001
2016-03-01,08G,247,304.977
2018-08-01,08G,222,313.90700000000004
2018-02-01,08H,173,251.77300000000002
2018-07-01,08H,188,252.838
2015-03-01,08H,187,233.86499999999998
2016-12-01,08H,194,240.18800000000007
2018-10-01,08H,182,255.178
2015-11-01,08H,179,234.49600000000004
2016-07-01,08H,184,240.10899999999998
2015-04-01,08N,232,300.293
2019-07-01,08T,132,204.32199999999997
2017-04-01,08V,232,312.066
2015-02-01,08V,215,294.5159999999999
2017-01-01,08Y,175,242.462
2016-10-01,09A,169,209.788
2018-03-01,09A,164,229.37799999999996
2018-01-01,09Y,273,371.39400000000006
2019-09-01,09Y,233,377.6519999999999
2015-01-01,09Y,272,361.3170000000001
2018-04-01,09Y,254,371.92499999999995
2014-11-01,15A,393,518.1700000000001
2019-04-01,15A,367,551.112
2016-06-01,15D,368,447.62799999999993
2015-09-01,15D,361,443.1249999999999
2019-08-01,99H,210,309.05199999999996
2016-08-01,99H,240,304.25999999999993
2017-10-01,99H,225,307.20599999999996
2019-01-01,99H,202,308.06199999999995
2019-03-01,99H,205,308.26800000000003
2019-10-01,99H,213,309.077
2017-05-01,03W,441,325.09999999999997
2017-04-01,03W,413,324.913
2019-09-01,03W,378,334.86599999999993
2019-07-01,04V,459,399.07399999999996
2015-04-01,04V,512,375.54900000000004
2016-04-01,04V,536,380.55600000000004
2018-01-01,04V,522,391.8010000000001
2015-02-01,05F,228,183.099
2017-11-01,05J,244,177.521
2017-07-01,05J,240,177.21400000000003
2016-07-01,05J,245,175.56699999999995
2019-03-01,05L,692,575.6639999999999
2019-05-01,05R,359,292.539
2017-10-01,05R,380,284.7610000000001
2016-02-01,05R,371,277.4099999999999
2018-12-01,06H,1221,979.5810000000002
2015-11-01,06K,780,586.2030000000001
2016-01-01,06K,783,588.136
2014-12-01,06K,894,582.1250000000001
2015-10-01,06K,826,586.2030000000001
2018-02-01,06K,730,597.1149999999999
2018-08-01,06W,311,235.16
2019-08-01,07G,218,180.31000000000003
2019-01-01,07G,220,178.35599999999997
2018-06-01,07H,411,313.70300000000003
2015-05-01,07H,416,299.988
2018-05-01,07H,410,313.2729999999999
2015-07-01,07H,434,301.5519999999999
2018-11-01,09J,338,271.21999999999997
2016-09-01,09J,367,262.407
2016-06-01,09J,365,261.01200000000006
2015-08-01,09J,350,259.52700000000004
2018-07-01,10D,145,113.47899999999998
2019-06-01,10R,271,232.29600000000005
2015-01-01,10V,293,210.792
2014-11-01,10V,267,210.283
2015-06-01,10X,376,270.6569999999999
2016-05-01,10X,371,276.431
2017-08-01,10X,398,281.872
2015-12-01,10X,423,274.86899999999997
2016-03-01,11A,765,552.072
2016-12-01,11X,863,565.4420000000002
2017-03-01,12F,480,335.11600000000016
2016-10-01,12F,465,334.548
2017-12-01,12F,463,336.161
2016-08-01,12F,474,334.9660000000001
2015-09-01,12F,479,333.83899999999994
2016-11-01,12F,476,334.54799999999994
2019-10-01,15C,1235,1029.581
2017-02-01,15E,1631,1296.316
2017-09-01,15E,1768,1304.289
2015-03-01,15E,1758,1261.515
2017-06-01,15E,1874,1300.9930000000004
2019-02-01,15E,1429,1321.8980000000008
2018-10-01,15E,1737,1315.0720000000001
2018-09-01,15E,1547,1314.4090000000003
2018-03-01,15E,1778,1310.2669999999991
2017-01-01,99N,642,482.9950000000001
2019-04-01,99N,581,495.18499999999995
2018-04-01,99N,609,490.01800000000003
2018-03-01,00X,347,183.39600000000002
2016-08-01,00X,353,180.445
2016-09-01,00X,363,180.44499999999996
2018-04-01,00X,335,183.43200000000002
2017-07-01,01A,737,379.939
2016-04-01,01F,262,130.125
2015-02-01,01F,224,129.59699999999998
2017-09-01,01J,315,164.41899999999998
2019-04-01,01W,541,314.19900000000007
2015-01-01,01W,568,303.157
2019-10-01,02D,193,109.229
2018-01-01,03A,472,248.43400000000005
2019-06-01,03E,272,164.043
2017-08-01,03L,516,262.134
2018-07-01,03Q,660,357.36
2016-12-01,03Q,722,350.04100000000005
2015-08-01,03V,135,74.077
2017-06-01,04F,575,290.86400000000003
2019-08-01,04F,542,300.19
2019-03-01,04F,515,297.93999999999994
2018-10-01,04L,261,140.95400000000004
2016-01-01,04L,256,139.193
2018-12-01,05D,256,143.18599999999998
2015-03-01,05H,358,185.54799999999997
2016-07-01,05H,360,187.976
2016-06-01,05H,376,187.266
2015-11-01,05H,345,186.555
2017-05-01,05W,559,289.019
2018-02-01,06D,200,116.08200000000001
2019-02-01,06D,185,117.03299999999999
2015-06-01,06D,222,113.38600000000001
2016-11-01,06D,227,114.827
2017-10-01,06L,796,405.7809999999999
2015-04-01,06L,746,396.718
2019-09-01,06Q,647,396.12399999999985
2014-11-01,06V,298,169.84099999999998
2016-05-01,09E,421,220.25400000000008
2016-03-01,09E,429,220.049
2017-04-01,09F,361,194.80000000000004
2018-08-01,09F,367,196.874
2016-10-01,09W,575,295.753
2017-11-01,09W,575,298.5640000000001
2017-12-01,09W,569,298.81300000000005
2017-02-01,09W,528,297.35599999999994
2015-10-01,10J,443,221.48100000000002
2014-12-01,11M,1286,631.2299999999998
2015-07-01,12D,468,230.256
2015-09-01,12D,464,230.256
2015-12-01,12D,490,231.15000000000003
2019-05-01,15F,1634,889.0840000000002
2018-05-01,15F,1663,879.7999999999998
2019-07-01,15F,1552,887.9570000000002
2016-02-01,15N,2221,1195.7929999999992
2018-06-01,99A,1003,533.4469999999998
2019-01-01,99A,972,539.9850000000002
