"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.00C",2,35,35,35,35,35,-0.0330101594486287,-0.00857864810042723,0.538461538461538,3.88095438821175,3.02269024254741,0.858264145664347,0.221147702294902
"2","ratio_quantity.00D",2,31,31,31,31,31,-0.0136504070065413,-0.00350924685081846,0.533333333333333,3.90348990443535,3.49397769423911,0.409512210196239,0.104909253058636
"3","ratio_quantity.00J",1,49,49,49,49,49,-0.0356334629388727,-0.0142501440471615,0.583333333333333,2.53620207620637,2.1086005209399,0.427601555266472,0.168599166161899
"4","ratio_quantity.00K",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ratio_quantity.00L",2,35,35,35,35,35,-0.0278191438962796,-0.00823347472426886,0.538461538461538,3.40660450826745,2.68330676696418,0.723297741303269,0.212322193418081
"6","ratio_quantity.00M",1,22,22,22,22,22,-0.0219790243761861,-0.00567735556323414,0.512820512820513,3.89332795283146,3.0361460021602,0.857181950671258,0.22016690118485
"7","ratio_quantity.00N",2,24,24,24,24,24,-0.0335950129841551,-0.0100944586832128,0.513513513513514,3.36165984919215,2.11864436877841,1.24301548041374,0.369762419809503
"8","ratio_quantity.00P",2,Inf,Inf,Inf,Inf,NA,NA,NA,NA,NA,2.83714215349794,NA,NA
"9","ratio_quantity.00Q",2,18,18,18,18,18,-0.000716916147450675,-0.000227020746294063,0.511627906976744,3.15864921596486,3.12782182162448,0.030827394340379,0.00975967644161533
"10","ratio_quantity.00R",2,34,34,34,34,34,-0.0281509716241044,-0.00646417539918312,0.518518518518518,4.38307172882723,3.62299549497641,0.760076233850819,0.173411771669589
"11","ratio_quantity.00T",2,15,15,15,15,15,-0.0164307347612224,-0.00492002251159341,0.521739130434783,3.35599569051202,2.60018189149579,0.755813799016231,0.225212982589056
"12","ratio_quantity.00V",2,33,33,33,33,33,-0.0246258070219069,-0.00800334224056572,0.535714285714286,3.10156620038515,2.41204360377176,0.689522596613395,0.222314325107028
"13","ratio_quantity.00X",3,35,35,35,35,35,-0.0256898899005023,-0.0128171840451771,0.515513352728325,2.03002171582673,1.48185203717546,0.548169678651271,0.270031435810542
"14","ratio_quantity.00Y",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ratio_quantity.01A",3,27,27,27,27,27,-0.730223318580064,-0.364011339195805,0.841224982634091,2.73626884505546,1.86822125534462,0.868047589710837,0.317237683453302
"16","ratio_quantity.01C",2,24,24,24,24,24,-0.0286784079495233,-0.0115475708028348,0.513513513513514,2.51217978145771,1.45107868732535,1.06110109413236,0.422382626420411
"17","ratio_quantity.01D",1,33,33,33,33,33,-0.0574436280787523,-0.0137943618930457,0.535714285714286,4.22172672606764,2.61330513986258,1.60842158620506,0.380986665070868
"18","ratio_quantity.01E",1,44,44,44,44,44,-0.016270145971096,-0.00927677839125727,0.529411764705882,1.77012749653899,1.49353501503036,0.276592481508632,0.156255683304979
"19","ratio_quantity.01F",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ratio_quantity.01G",4,10,10,10,10,32,-0.0305405480020882,-0.00895316519969578,0.513083691712256,3.46307609980421,2.21308215456003,1.24999394524418,0.360949026016163
"21","ratio_quantity.01H",2,24,24,24,24,24,-0.0067616206732818,-0.00273443701898695,0.513513513513514,2.47952681011869,2.22934684520726,0.250179964911427,0.100898269738592
"22","ratio_quantity.01J",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ratio_quantity.01K",1,44,44,44,44,44,-0.0322802219213619,-0.0142905547073308,0.529411764705882,2.2911303913135,1.74236661865035,0.548763772663152,0.239516604879283
"24","ratio_quantity.01R",1,35,35,35,35,35,-0.0209266464587902,-0.00763359685920621,0.538461538461538,2.76231407426779,2.21822126633925,0.544092807928545,0.196969929305656
"25","ratio_quantity.01T",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
