"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.08N",4,10,10,10,10,40,-0.00178851168193853,-0.00946347906688815,0.500762340045655,0.189307870264915,0.110733157559762,0.0785747127051536,0.415063106437134
"2","ratio_quantity.08P",3,2,2,2,2,2,-0.0022469659940343,-0.0143470048049876,0.534664021035194,0.158862651607603,0.10422916819892,0.0546334834086827,0.343903887136604
"3","ratio_quantity.08Q",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ratio_quantity.08R",2,17,17,17,17,17,-0.00574025343747057,-0.0405744440132459,0.613590950146997,0.147214858378369,0.119149320077509,0.0280655383008601,0.190643380770211
"5","ratio_quantity.08T",2,21,21,21,21,21,-0.00468624211479098,-0.0269851341194147,0.502242339887661,0.203268673621543,0.128623559219772,0.0746451144017715,0.367223896687346
"6","ratio_quantity.08V",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ratio_quantity.08W",2,46,46,46,46,46,-0.00211239695595095,-0.0121548556146354,0.5625,0.175902775297217,0.142104424002002,0.0337983512952151,0.1921422287858
"8","ratio_quantity.08X",3,11,11,11,11,40,-0.00159431753997192,-0.0132014322991508,0.532324136791107,0.122076393325212,0.0771512031135883,0.0449251902116237,0.368008826177742
"9","ratio_quantity.08Y",1,17,17,17,17,17,-0.000953496644170023,-0.00435454246857849,0.511111111111111,0.219919473219267,0.177012124231616,0.042907348987651,0.195104818866454
"10","ratio_quantity.09A",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ratio_quantity.09C",1,47,47,47,47,47,-0.00199222575601503,-0.0119376742346465,0.533333333333333,0.168877811411639,0.138994425071413,0.0298833863402254,0.176952709716168
"12","ratio_quantity.09D",1,38,38,38,38,38,-0.00144066720009852,-0.00766094741781359,0.541666666666667,0.189494066019755,0.154918053217391,0.0345760128023644,0.182464884144498
"13","ratio_quantity.09E",1,10,10,10,10,10,-0.000628123282959717,-0.00367941884415864,0.519230769230769,0.171340757414546,0.13867834670064,0.0326624107139053,0.190628378249088
"14","ratio_quantity.09F",1,48,48,48,48,48,-0.00110337246162425,-0.00598433259042474,0.571428571428571,0.185480234033407,0.170033019570668,0.0154472144627395,0.0832822674784706
"15","ratio_quantity.09G",2,14,14,14,14,14,-0.00329081272760085,-0.0221785685265239,0.566517045403443,0.151668861728612,0.128433460398314,0.0232354013302976,0.153198231103453
"16","ratio_quantity.09H",4,6,6,6,6,47,-0.00170785450745482,-0.0113852998484643,0.51925464171921,0.151094152862983,0.105047452105136,0.0460467007578469,0.30475501457428
"17","ratio_quantity.09J",1,16,16,16,16,16,-0.000372414305538794,-0.00282505038146988,0.521739130434783,0.132198136063119,0.115067078008335,0.0171310580547845,0.129586229919347
"18","ratio_quantity.09L",1,2,2,2,2,2,-0.000957945659348169,-0.00541036255510853,0.516666666666667,0.178015517973733,0.120538778412843,0.0574767395608901,0.322874883128846
"19","ratio_quantity.09N",5,7,7,7,7,7,-0.00243671336325178,-0.0170530676461581,0.533225098132043,0.170757701001131,0.102211226769482,0.0685464742316489,0.401425375428279
"20","ratio_quantity.09P",4,16,16,16,16,47,-0.00256549003330571,-0.0119037711180125,0.543217812019771,0.216483060938615,0.159809881748851,0.0566731791897649,0.261790363384758
"21","ratio_quantity.09W",1,5,5,5,5,5,-0.000240925740270776,-0.00139444332510904,0.508771929824561,0.17301649569894,0.159283728503506,0.0137327671954343,0.0793725889543511
"22","ratio_quantity.09X",4,2,2,2,2,2,-0.00220480146982386,-0.0123199204151641,0.534346448029617,0.181167115796956,0.119274644780615,0.0618924710163412,0.341631927759491
"23","ratio_quantity.09Y",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ratio_quantity.10A",1,5,5,5,5,5,-0.000350098444770983,-0.00221110599955712,0.508771929824561,0.158686444527278,0.138730833175332,0.019955611351946,0.125754984374331
