"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.E87742",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ratio_quantity.E87745",2,6,6,6,6,6,-205.657406290907,-0.0268633457755796,0.594535860601084,7861.34586777295,5785.87066178973,2075.47520598322,0.264010163258621
"3","ratio_quantity.E87746",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ratio_quantity.E87750",2,14,14,NA,NA,14,4963.54246437961,0.450122026085651,2.76629586139606,6063.56169122803,7857.85366615609,-1794.29197492807,-0.295913864869853
"5","ratio_quantity.E87751",1,18,18,18,18,18,91.3416728180776,0.0135317071234764,0.511627906976744,6658.85414390984,10586.5460750872,-3927.69193117734,-0.589845016318549
"6","ratio_quantity.E87753",2,44,44,44,44,44,2795.03128077067,0.387347589043083,1.57516683792087,4420.79078662779,6195.22585819136,-1774.43507156356,-0.401384086514782
"7","ratio_quantity.E87754",2,20,20,30,30,30,-347.364605973893,-0.047732853755725,0.503267419090805,6407.49992545838,4336.84369302373,2070.65623243465,0.323161335391903
"8","ratio_quantity.E87755",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ratio_quantity.E87756",3,9,9,15,15,15,-73401.6321880984,-2.20014177498743,9.36729186941215,20371.188752107,12535.238595821,7835.95015628601,0.384658463069591
"10","ratio_quantity.E87762",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ratio_quantity.E87768",3,35,35,38,38,35,155.024501394134,0.494443750304368,6.1715059368047,158.508638217207,183.628034193092,-25.1193959758859,-0.158473356773556
"12","ratio_quantity.E87772",3,16,16,20,20,20,-3764.77799770106,-0.213897478900571,0.640489122988416,13324.5709196333,1568.62421398051,11755.9467056528,0.882275817852476
"13","ratio_quantity.F81001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ratio_quantity.F81003",3,24,24,26,26,24,-6860.34925924333,-0.495526923020891,59.5585069449727,20704.9032895682,20589.7165662747,115.186723293456,0.00556325821388847
"15","ratio_quantity.F81004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ratio_quantity.F81006",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ratio_quantity.F81007",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ratio_quantity.F81009",1,19,19,NA,NA,19,-175.963371029071,-0.00572190991487385,0.523809523809524,30928.5221576786,23538.0605744577,7390.46158322099,0.238952949175625
"19","ratio_quantity.F81010",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ratio_quantity.F81011",1,15,15,15,15,15,-762.941096351805,-0.0114284741384074,0.521739130434783,67520.855329872,32425.564897689,35095.290432183,0.519769636517866
"21","ratio_quantity.F81012",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ratio_quantity.F81013",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ratio_quantity.F81014",3,10,10,12,12,10,-10125.9643063517,-0.308823244750008,1.55403968274802,42914.8313313991,36398.9331733508,6515.89815804835,0.151833246360237
"24","ratio_quantity.F81015",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ratio_quantity.F81016",2,17,17,28,28,28,-529.262208908305,-0.0178730859936022,0.583472187308753,28436.7727617635,23901.3191410047,4535.45362075878,0.159492557708842
"26","ratio_quantity.F81017",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ratio_quantity.F81018",3,36,36,40,40,36,-13496.6068352265,-0.351873850887698,1.95253886808923,51852.9859784269,200.288095594005,51652.6978828329,0.996137385498352
