name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
A81001,0,,,,,,,,,,,,
A81002,0,,,,,,,,,,,,
A81004,0,,,,,,,,,,,,
A81005,3,22.0,22.0,22.0,22.0,22.0,-4.46919093393996,-1.2753892726326899,0.59572272791687,7.97336885815485,0.47123619726431804,7.50213266089053,0.940898733565755
A81006,2,31.0,31.0,31.0,31.0,31.0,-0.0126250099411738,-0.0050127683996537,0.5333333333333329,2.53119537557904,2.15244507734383,0.378750298235214,0.14963297653329902
A81007,5,24.0,24.0,24.0,24.0,24.0,-0.850036911535807,-0.110408158906725,0.625468472725448,8.54907763418689,7.19003725309171,1.3590403810951799,0.15896924080564098
A81009,0,,,,,,,,,,,,
A81011,0,,,,,,,,,,,,
A81012,0,,,,,,,,,,,,
A81013,0,,,,,,,,,,,,
A81014,2,34.0,34.0,34.0,34.0,34.0,-0.25681356425203605,-0.0914262901049072,0.695823549312312,3.06578201257642,2.32762486194291,0.7381571506335091,0.2407728754378
A81015,2,36.0,36.0,36.0,36.0,36.0,-1.89283889403648,-1.53026720770897,1.1590554508847501,3.1297724730225496,1.30187144358809,1.8279010294344602,0.5840363940798471
A81016,0,,,,,,,,,,,,
A81017,0,,,,,,,,,,,,
A81018,3,12.0,12.0,12.0,12.0,12.0,-0.473443696887485,-0.0827600820750009,0.657413046223874,6.194120682906281,3.31347388341299,2.8806467994932903,0.465061458592972
A81019,1,21.0,21.0,21.0,21.0,21.0,-0.0376958680217504,-0.0115166850762289,0.525,3.3108484959039504,1.80301377503393,1.50783472087002,0.45542244616008604
A81020,1,18.0,18.0,18.0,18.0,18.0,-0.0330191853151665,-0.009447975653402541,0.511627906976744,3.52786152260201,2.1080365540498502,1.41982496855216,0.40246051594025
A81021,0,,,,,,,,,,,,
